diameterK vratioI TransitionJ PX PY Pz RadiusCr DiameterV scale_con ratio current_bglac reported_ratios_vol.x reported_ratios_vol.y reported_ratios_vol.z reported_ratios_vol.w
0 1 2 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.4 0.3454703 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.18883 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.2201581 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.2514862 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.2828142 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.3141423 NaN NaN NaN 0
0 1 3 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.6 0.3454703 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.18883 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.2201581 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.2514862 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.2828142 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.3141423 NaN NaN NaN 0
0 1 4 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 0.8 0.3454703 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.18883 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.2201581 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.2514862 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.2828142 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.3141423 NaN NaN NaN 0
0 1 5 2.823954 -0.3383527 10.03768 340.6 84.5 0.03951245 1 0.3454703 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.18883 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.2201581 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.2514862 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.2828142 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.3141423 NaN NaN NaN 0
0 2 0 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0 0.3454703 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.18883 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.2201581 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.2514862 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.2828142 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.3141423 NaN NaN NaN 0
0 2 1 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.2 0.3454703 NaN NaN NaN 0
0 2 2 -4.294701 4.30283 -5.076687 369.2 84.5 0.05032516 0.4 0.18883 NaN NaN NaN 0
